run,fileNum,bound status,ligand,receptor,lig_x,lig_y,lig_z,rec_x,rec_y,rec_z,formed_time,broken_time,lig_break_x,lig_break_y,lig_break_z,rec_break_x,rec_break_y,rec_break_z,delta
83,2,1,113,20,552.620576,800.962075,36.803558,537.691947,811.537525,0.0,3.9526003877999996,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.9e-05
87,1,1,71,69,411.010335,655.9681410000001,24.432448,385.982523,634.38402,0.0,0.41483040035999996,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06
88,1,1,135,88,-413.628523,-132.498983,30.56111,-434.321076,-150.583418,0.0,1.1447173455,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
88,2,1,125,64,288.83923,-220.70716000000002,39.749734000000004,299.24929199999997,-219.81268799999998,0.0,47.756781311000005,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05
89,1,1,69,27,495.44187400000004,-614.3345879999999,27.952601,483.05775199999994,-586.8665070000001,0.0,55.14618728399999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1e-06
89,2,1,39,76,-310.994692,209.090743,30.306864,-338.728975,210.32131299999998,0.0,57.479539743000004,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,9e-06
91,1,1,78,32,-547.120147,242.64434599999998,40.545783,-542.049226,238.22464900000003,0.0,2.0361720953,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8e-05
91,2,1,100,13,171.556757,-373.035307,22.284104,186.17838,-404.321682,0.0,22.534040864,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-06
92,1,1,146,20,595.924683,-716.2424679999999,33.792735,603.9802030000001,-694.279509,0.0,43.9795936,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4e-05
93,1,1,57,1,-403.65612999999996,588.24366,40.24168,-409.570942,582.341891,0.0,11.602906750999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6e-05
95,1,1,19,45,-343.65642,-471.50455199999993,17.969304,-319.212439,-499.231905,0.0,11.656097798,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06
95,2,1,24,63,225.19009100000002,651.443571,40.079969,233.98466000000002,653.780985,0.0,19.278371246,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3e-05
96,1,1,9,57,-759.87062,85.55740899999999,28.532220000000002,-779.538875,63.460297,0.0,14.640176840999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06
97,1,1,34,58,363.783879,379.093233,31.573006,385.636137,364.436008,0.0,9.0124569855,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06
97,2,1,144,72,-383.045789,174.67994299999998,35.161427,-387.58943700000003,195.470209,0.0,40.701968163000004,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.1e-05
100,1,1,54,35,779.722755,168.12967700000002,34.70511,795.676264,183.303749,0.0,59.016273117,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9e-05
102,1,1,34,28,-537.052855,-230.178974,22.827247,-562.807922,-207.711057,0.0,1.7504570656,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8e-05
102,2,1,106,73,-184.347597,107.39220700000001,13.579466,-175.93641599999998,145.261128,0.0,16.623084571,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.9999999999999995e-05
103,1,1,41,55,4.901368,-498.904062,37.085575,-4.261544000000001,-514.067025,0.0,1.7509407066999998,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2000000000000004e-05
