renumbered,run,fileNum,bound status,ligand,receptor,lig_x,lig_y,lig_z,rec_x,rec_y,rec_z,formed_time,broken_time,lig_break_x,lig_break_y,lig_break_z,rec_break_x,rec_break_y,rec_break_z,delta
78,96,1,1,9,57,-759.87062,85.55740899999999,28.53222,-779.538875,63.460297,0.0,14.640176841,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06
79,171,2,1,142,36,-753.111406,388.192339,34.544834,-739.246389,405.617211,0.0,14.990680821,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,5e-06
80,112,1,1,33,72,-326.00029,-631.049491,23.114677,-321.353581,-597.3845660000001,0.0,15.245770175,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2e-05
81,69,1,1,63,29,802.527368,128.444782,36.996345,820.252604,125.935123,0.0,15.433763438,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3e-05
82,165,1,1,90,6,-41.859632,-817.833093,27.014584000000003,-12.745063,-828.404912,0.0,15.47624723,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1e-05
83,186,1,1,73,6,-849.94657,-735.903792,39.664553000000005,-840.1329599999999,-731.473693,0.0,15.514031148,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.000000000000001e-06
84,19,1,1,73,80,435.836358,353.736514,39.443445,429.874219,363.629923,0.0,15.873377422,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4e-05
85,113,1,1,7,22,-591.495167,235.290736,40.30333,-583.683679,237.248548,0.0,15.945471265999998,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,9e-06
86,44,2,1,49,42,-642.4663559999999,282.04246800000004,28.719218,-616.3015389999999,268.63286,0.0,16.005088016,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5e-05
87,119,1,1,139,41,-303.852023,-309.869862,21.297667,-293.235333,-276.360098,0.0,16.136286829,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1e-05
88,102,2,1,106,73,-184.347597,107.392207,13.579466,-175.93641599999998,145.261128,0.0,16.623084571,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-6e-05
89,39,1,1,86,81,-244.265348,661.7306269999999,40.195937,-251.181652,656.66485,0.0,16.807020452,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,9e-06
90,47,1,1,38,57,-759.0626900000001,-149.3921,40.558023,-754.7004440000001,-154.414375,0.0,16.899460661,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.3e-05
91,40,1,1,100,57,201.957906,-107.592269,26.851762,205.894303,-76.726424,0.0,17.622879102,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4e-05
92,49,2,1,129,24,-205.227823,-456.005003,30.977363,-179.23993000000002,-448.640188,0.0,17.900689150999998,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3e-05
93,170,1,1,31,67,-596.9427919999999,-133.422028,28.561737,-623.224575,-146.93885,0.0,18.029878273,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.000000000000001e-06
94,111,1,1,44,84,583.0219480000001,513.658943,35.082899,561.807822,516.550583,0.0,18.455882943,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.000000000000001e-06
95,104,2,1,4,65,-500.613773,338.110734,27.991206,-528.438832,326.644668,0.0,18.686857033,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7e-05
96,32,2,1,5,19,466.624431,197.712989,33.13051,451.653719,178.543877,0.0,18.71027971,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7e-05
97,60,1,1,132,91,267.573994,-539.4588259999999,27.359051,253.591052,-512.1610820000001,0.0,18.880162868,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5e-05
98,129,2,1,144,34,439.592754,-209.799248,27.943434000000003,411.064202,-200.078397,0.0,18.905616695,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5e-05
99,95,2,1,24,63,225.190091,651.443571,40.079969,233.98466,653.780985,0.0,19.278371246,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3e-05
100,28,2,1,102,13,80.604015,718.530017,32.940207,100.837988,732.485022,0.0,19.312420151,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7e-05
